,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:
266,YAR2290,70,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
267,YAR3106,50,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
268,YAR2073,60,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
269,YAR3625,60,Nee,"Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
270,YAR1887,80,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
271,YAR3256,80,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
272,YAR3533,80,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
273,YAR671,160,Nee,"Augustus, September",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Asteraceae,Guldenroede,Solidago,,Borderplanten,,,,,,,,,,,,,,,
274,YAR363,1500,Nee,,Vochthoudend,Halfschaduw / zon,Groen,,Carpinaceae,Haagbeuk,Carpinus,,Haagplanten,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
275,YAR1332,70,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Rosaceae,Heesterganzerik,Potentilla,,Borderplanten,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
276,YAR393,70,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Hemdsknoopjes,Achillea,5-7,Borderplanten,,,,,,,,,,,,,,,
277,YAR466,10,Ja,"April, Mei",Droog-vochthoudend,Halfschaduw,"Groen, Grijs",Geel,Primulaceae,Sleutelbloem,Primula,35,Borderplanten,Ja,Neutraal tot basisch,,,Alle,,,,,,,,,,
278,YAR541,30,Nee,"Juni, Mei",Vochthoudend-vochtig,Lichte schaduw,"Groen, Grijs","Paars, Blauw",Primulaceae,Sleutelbloem,Primula,25,Borderplanten,Ja,Zwak zuur tot neutraal,Ja,,Alle,,,,,,,,,,
279,YAR1801,50,Nee,"September, Oktober, Augustus",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
280,YAR3768,80,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Rood,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
281,YAR1611,80,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Rood,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
282,YAR2511,150,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Blauw,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
283,YAR559,125,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Paars,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
284,YAR739,125,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
285,YAR2440,60,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Paars,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
286,YAR3769,125,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
287,YAR3144,125,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,"Paars, Rood",Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
288,YAR3770,120,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Roze,Asteraceae,Herfstaster,Aster,,Borderplanten,,,,,,,,,,,,,,,
289,YAR1589,1500,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Betulaceae,Himalajaberk,Betula,,Bomen,,Zwak zuur tot licht basisch,,,"Bostuin, Parken",,,,,,,,,,
290,YAR3653,350,Nee,"Juni, Juli",Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceae,Hondsroos,Rosa,1-2,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
291,YAR75,10,Nee,"April, Mei",Vochthoudend,Schaduw,Groen,Blauw,Violaceae,Hondsviooltje,Viola,15-20,Borderplanten,,,,,,,,,,,,,,,
292,YAR31678,700,Nee,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Amerikaans krentenboompje,Amelanchier,1,Heesters en Struiken,Ja,Zuur tot zwak zuur,,,,,,,,,,,,,
293,YAR592,150,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Hydrangeaceae,Wilde hortensia,Hydrangea,1-3,Heesters en Struiken,,Zuur tot zwak zuur,,,,,,,,,,,,,
294,YAR98,100,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Blauw, Lila",Hydrangeaceae,Hortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,
295,YAR1038,80,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Rood,Hydrangeaceae,Hortensia (scherm),Hydrangea,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
296,YAR4091,130,Nee,"Augustus, Juli",Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,"Blauw, Roze, Paars",Hydrangeaceae,Hortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
297,YAR3954,100,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Rood",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,
298,YAR4019,100,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Rood",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,
299,YAR494,100,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Rood",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,
300,YAR1438,120,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Groen",Hydrangeaceae,Hortensia (scherm),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
301,YAR1070,100,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Rood",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,Ja,Zuur tot neutraal,Ja,,,,,,,,4.5-7,,,,
302,YAR1290,150,Nee,"Juli, Augustus",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Wit,Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
303,YAR334,100,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Blauw",Hydrangeaceae,Hortensia (bol),Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
304,YAR1252,100,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Roze,Hydrangeaceae,Hortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
305,YAR571,100,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,"Wit, Blauw",Hydrangeaceae,Hortensia,Hydrangea,3,Heesters en Struiken,,Zuur tot neutraal,,,,,,,,,,,,,
306,YAR998,100,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,"Roze, Blauw",Hydrangeaceae,"Waterstruik, Hortensia",Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
307,YAR395,125,Nee,Juli,Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Blauw,Hydrangeaceae,"Waterstruik, Hortensia",Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,
308,YAR965,150,Nee,"Juli, Augustus",Vochthoudend-vochtig,Halfschaduw,Groen,Roze,Hydrangeaceae,Hortensia (scherm),Hydrangea,,Tuin thema's en Meer,Ja,Zuur tot neutraal,,,,,,,,,,,,,
309,YAR2567,600,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw,Groen,wit,Aquifoliaceae,Hulst,Ilex,,Haagplanten,,Zuur tot zwak zuur,,,,,,,,3-4,,,,,
310,YAR3686,50,Ja,"Juni, Juli, Augustus",Droog,Zon,Groen,"Blauw, Paars",Lamiaceae,Hyssop,Hyssopus,,Borderplanten,,,,,,,,,,,,,,,
311,YAR976,50,Ja,"Juni, Juli, Augustus",Droog,Zon,Groen,Wit,Lamiaceae,Hyssop,Hyssopus,,Borderplanten,,,,,,,,,,,,,,,
312,YAR2135,30,Nee,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,"Wit, Rood",Verbenaceae,Verbena,Verbena,7-9,Borderplanten,,,,,,,,,,,,,,,
313,YAR1501,30,Nee,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,Roze,Verbenaceae,Verbena,Verbena,7-9,Borderplanten,,,,,,,,,,,,,,,
314,YAR1381,30,Nee,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,Rood,Verbenaceae,Verbena,Verbena,7-9,Borderplanten,,,,,,,,,,,,,,,
315,YAR1126,250,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Taxaceae,Ierse taxus,Taxus,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,1,,,,,
316,YAR4072,150,Nee,"Juli, Augustus",Droog,Zon,Groen,Lila,Verbenaceae,Verbena,Verbena,,Borderplanten,,,,,,,,,,,,,,,
317,YAR4016,150,Nee,"Juli, Augustus, September, Oktober",Droog,Zon,Groen,Lila,Verbenaceae,Verbena,Verbena,,Borderplanten,,,,,,,,,,,,,,,
318,YAR222,30,Nee,"Augustus, Mei, Juni, Juli",Droog-vochthoudend,Zon,Groen,"Wit, Rood",Verbenaceae,"Verbena, Ijzerhard",Verbena,7-9,Borderplanten,,,,,,,,,,,,,,,
319,YAR550,80,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Asteraceae,Aster,Aster,5-7,Borderplanten,,,,,,,,,,,,,,,
320,YAR199,300,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,"Bostuin, Japanse tuin",,,,,,6-8,,,,
321,YAR3612,400,Nee,,Vochthoudend-vochtig,"Halfschaduw, Zon","Bruin, Rood",,Aceraceae,Japanse esdoorn,Acer,,Bomen,Ja,Zwak zuur tot licht basisch,Nee,,,,,,,,,,,,
322,YAR3251,400,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood",,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,"Bostuin, Japanse tuin",,,,,,,,,,
323,YAR1663,300,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood",,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
324,YAR3738,300,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Wit,,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,"Bostuin, Japanse tuin",,,,,,,,,,
325,YAR2343,300,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood",,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,"Bostuin, Japanse tuin",,,,,,,,,,
326,YAR1912,300,Nee,,Vochthoudend-vochtig,Halfschaduw,Groen,,Aceraceae,Japanse esdoorn,Acer,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
327,YAR512,125,Nee,,Vochthoudend-vochtig,"Halfschaduw, Zon",Rood,,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,Japanse tuin,,,,,,,,,,
328,YAR3741,400,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood",,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,"Bostuin, Japanse tuin",,,,,,,,,,
329,YAR3673,200,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood",,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
330,YAR1451,400,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,Japanse tuin,,,,,,,,,,
331,YAR4025,400,Nee,,Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,,Aceraceae,Japanse esdoorn,Acer,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,Japanse tuin,,,,,,,,,,
332,YAR1678,60,Nee,"Mei, Juni",Vochthoudend,Halfschaduw,Groen,"Roze, Rood",Primulaceae,Japanse sleutelbloem,Primula,11-15,Borderplanten,,,Ja,,Alle,,,,,,,,,,
333,YAR2497,150,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Wit,Caprifoliaceae,Japanse sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
334,YAR3135,200,Nee,"Augustus, September, Oktober",Vochthoudend,Schaduw,Groen,Roze,Polygonaceae,Japanse duizendknoop,Fallopia,,Borderplanten,,,,,,,,,,,,,,,
335,YAR3439,60,Nee,"Oktober, September, Augustus",Vochthoudend,Schaduw,Groen,"Roze, Rood",Polygonaceae,Japanse duizendknoop,Fallopia,,Borderplanten,,,,,,,,,,,,,,,
336,YAR238,125,Ja,,Vochthoudend,Lichte schaduw,"Grijs, Gemengd",,Celastraceae,Japanse kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
337,YAR1390,50,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Gemengd,,Celastraceae,Japanse kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
338,YAR1390,50,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,Gemengd,,Celastraceae,Japanse kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
339,YAR3581,10,Ja,,Droog,Zon,Groen,,Celastraceae,Japanse kardinaalsmuts,Euonymus,11-15,Tuin thema's en Meer,,,,,,,,,,,5.5-8,,,,
340,YAR2539,30,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,"Groen, Grijs",,Celastraceae,Japanse kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
341,YAR144,500,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Pinaceae,Japanse larix,Larix,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
342,YAR3013,50,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Pinaceae,Japanse larix,Larix,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
343,YAR2790,600,Nee,,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,,Pinaceae,Japanse larix,Larix,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
344,YAR4104,500,Nee,April,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Rosaceae,Japanse sierkers,Prunus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
345,YAR2470,200,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Wit,Caprifoliaceae,Japanse sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
346,YAR2587,100,Nee,"Mei, Juni, Augustus, September",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Wit,Caprifoliaceae,Japanse sneeuwbal,Viburnum,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
347,YAR2395,200,Nee,"Mei, Juni",Droog-vochthoudend,"Halfschaduw, Zon",Groen,Roze,Rosaceae,Japanse wijnbes,Rubus,,Fruitstruiken en moestuinplanten,Tot -20 graden Celsius,Zwak zuur tot licht basisch,Ja,,,,,Ranken,"Spandraad, Trellis",1,,,,,
348,YAR1738,1000,Ja,,Vochthoudend,Halfschaduw,"Groen, Rood",,Vitaceae,Japanse wijnstok,Vitis,1-2,Klimplanten,,Neutraal,,,,,,Ranken,"Klimdraad, Spandraad, Multibinder",,,,,,
349,YAR3415,30,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood",Geel,Berberidaceae,Japanse zuurbes,Berberis,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,3,,,,,
350,YAR3169,150,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,"Rood, Paars",Geel,Berberidaceae,Japanse berberis,Berberis,3-5,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
351,YAR3184,100,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,"Rood, Paars",Geel,Berberidaceae,Japanse berberis,Berberis,3-5,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
352,YAR1248,150,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,"Bruin, Rood",Geel,Berberidaceae,Japanse zuurbes,Berberis,2-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
353,YAR1566,50,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Berberidaceae,Japanse berberis,Berberis,3-5,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
354,YAR2712,125,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,"Roze, Rood",Geel,Berberidaceae,Japanse berberis,Berberis,2-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
355,YAR3929,350,Ja,,Droog-vochthoudend,Halfschaduw,Groen,,Cupressaceae,Jeneverbes,Juniperus,,Tuin thema's en Meer,Ja,Neutraal tot basisch,,,,,,,,,7-9,,,,
356,YAR3957,10,Ja,,Droog-vochthoudend,Halfschaduw / zon,Groen,,Cupressaceae,Jeneverbes,Juniperus,3,Tuin thema's en Meer,,,,,,,,,,,7-9,,,,
357,YAR57,150,Ja,,Droog-vochthoudend,Lichte schaduw / zon,Blauw,,Cupressaceae,Jeneverbes,Juniperus,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,7-9,,,,
358,YAR3956,100,Ja,,Droog-vochthoudend,Halfschaduw / zon,"Groen, Geel",,Cupressaceae,Jeneverbes,Juniperus,3,Tuin thema's en Meer,,,,,,,,,,,7-9,,,,
359,YAR830,350,Ja,,Droog-vochthoudend,Zon,"Blauw, Grijs",,Cupressaceae,Juniperus,Juniperus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
360,YAR1311,500,Ja,,Droog-vochthoudend,Lichte schaduw / zon,Blauw,,Cupressaceae,Chinese jeneverbes,Juniperus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
361,YAR884,30,Ja,,Droog-vochthoudend,Lichte schaduw / zon,"Groen, Blauw",,Cupressaceae,"Juniperus, Jeneverbes",Juniperus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
362,YAR833,25,Ja,,Droog-vochthoudend,Lichte schaduw / zon,"Blauw, Grijs",,Cupressaceae,"Juniperus, Jeneverbes",Juniperus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
363,YAR2663,50,Ja,,Droog-vochthoudend,Lichte schaduw / zon,"Groen, Blauw",,Cupressaceae,Juniperus,Juniperus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
364,YAR648,200,Ja,,Droog-vochthoudend,Lichte schaduw / zon,Geel,,Cupressaceae,Jeneverbes,Juniperus,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,,,,,
365,YAR4085,180,Nee,"Mei, Juni",Vochthoudend,"Halfschaduw, Zon",Groen,"Geel, Groen",Celastraceae,Kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
366,YAR3219,150,Nee,"Mei, Juni",Vochthoudend,Halfschaduw / zon,Groen,"Geel, Groen",Celastraceae,Kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
367,YAR299,50,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,"Groen, Geel",,Celastraceae,Kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,5.5-8,,,,
368,YAR1531,35,Ja,,Vochthoudend-vochtig,Lichte / halfschaduw,"Groen, Wit",,Celastraceae,Kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
369,YAR2938,150,Nee,"Mei, Juni",Vochthoudend,Halfschaduw,"Groen, Rood",Groen,Celastraceae,Kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Neutraal,,,,,,,,,7-8,,,,
370,YAR1746,350,Nee,"Mei, Juni",Vochthoudend-vochtig,Halfschaduw / zon,Groen,Roze,Celastraceae,Kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Neutraal tot basisch,,,,"Maart, April",,,,,7-9,,,,
371,YAR45,400,Nee,Mei,Vochthoudend-vochtig,Halfschaduw / zon,Groen,"Geel, Groen",Celastraceae,Kardinaalsmuts,Euonymus,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,7-9,,,,
372,YAR3985,40,Nee,"September, Juni, Juli, Augustus, Oktober",,"Halfschaduw, Zon",Groen,"Blauw, Paars",Lamiaceae,Kattenkruid,Nepeta,,Bodembedekkers,Ja,,,,,,,,,,,,,,
373,YAR209,30,Nee,"September, Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Grijs,"Paars, Blauw",Lamiaceae,Kattenkruid,Nepeta,8-11,Borderplanten,,,,,,,,,,,,,,,
374,YAR2601,50,Nee,"September, Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Grijs,"Paars, Blauw",Lamiaceae,Kattenkruid,Nepeta,7-9,Borderplanten,,,,,,,,,,,,,,,
375,YAR2388,40,Nee,"September, Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Grijs,Wit,Lamiaceae,Kattenkruid,Nepeta,7-9,Borderplanten,,,,,,,,,,,,,,,
376,YAR2970,30,Nee,"September, Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Grijs,Blauw,Lamiaceae,Kattenkruid,Nepeta,8-11,Borderplanten,,,,,,,,,,,,,,,
377,YAR24223,500,Nee,"Mei, Juni",Vochtig,"Halfschaduw, Zon",Groen,Wit,,Kiwi,Actinidia,1,Klimplanten,Tot -20 graden Celsius,,Ja,,,,,Ranken,"Klimdraad, Multibinder, Spandraad, Trellis",,,,,,
378,YAR2990,20,Ja,"Juni, Juli",Droog-vochthoudend,Zon,"Groen, Grijs",Geel,Papaveraceae,Klaproos,Papaver,11-15,Borderplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,
379,YAR3073,40,Ja,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Grijs,Wit,Papaveraceae,Klaproos,Papaver,11-15,Borderplanten,,,,,,,,,,,,,,,
380,YAR1562,60,Nee,"Juni, Juli",Droog,Zon,Groen,Geel,Fabaceae,Klaver,Trifolium,,Borderplanten,,,,,,,,,,,,,,,
381,YAR2706,15,Ja,"April, Mei, Maart",Vochthoudend,"Schaduw, Halfschaduw, Zon",Groen,Blauw,Apocynaceae,Kleine maagdenpalm,Vinca,8,Bodembedekkers,,,,,,,,,,,,,,,
382,YAR167,15,Ja,"April, Mei",Vochthoudend,"Schaduw, Halfschaduw, Zon",Groen,Wit,Apocynaceae,Kleine maagdenpalm,Vinca,8,Bodembedekkers,Ja,,,,,,,,,,,,,,
383,YAR2344,15,Ja,"April, Mei",Vochthoudend,"Schaduw, Halfschaduw, Zon",Groen,"Paars, Rood, Roze",Apocynaceae,Kleine maagdenpalm,Vinca,8,Bodembedekkers,,,,,,,,,,,,,,,
384,YAR3369,15,Ja,"April, Mei",Vochthoudend,Schaduw,"Groen, Geel",Blauw,Apocynaceae,Kleine maagdenpalm,Vinca,8-11,Borderplanten,,,,,,,,,,,,,,,
385,YAR680,10,Ja,"April, Mei, Juni",Vochthoudend,Schaduw,Groen,Wit,Apocynaceae,Kleine maagdenpalm,Vinca,8-11,Borderplanten,,,,,,,,,,,,,,,
386,YAR3185,15,Ja,"April, Mei",Vochthoudend,Schaduw,"Groen, Geel",Blauw,Apocynaceae,Maagdenpalm,Vinca,8-11,Borderplanten,,,,,,,,,,,,,,,
387,YAR1931,15,Ja,"April, Mei, Juni",Vochthoudend,Schaduw,Groen,Paars,Apocynaceae,Kleine maagdenpalm,Vinca,8-11,Borderplanten,,,,,,,,,,,,,,,
388,YAR676,700,Nee,"Juni, Juli",Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,Wit,Hydrangeaceae,Klimhortensia,Hydrangea,1,Klimplanten,,Zwak zuur tot licht basisch,,,,,,,,,6-8,,,,
389,YAR903,400,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,"Wit, Paars",Rosaceae,Klimroos,Rosa,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,6-8,Ja,,,
