,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:,Maintenance,Maintenance description
461,YAR26906,200-400,Ja,"April, Mei",Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -25 graden Celsius,Neutraal,Ja,,,,Bessen,,,2-4,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
462,YAR26916,300,Ja,"April, Mei",Droog-vochthoudend,"Zon, Halfschaduw, Schaduw","Groen, Rood",Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -25 graden Celsius,,Ja,,,,Besjes,,,2-4,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
463,YAR26931,350-400,Ja,"Mei, Juni",Droog-vochthoudend,"Zon, Halfschaduw, Schaduw",Groen,Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -25 graden Celsius,,,,,,,,,2-4,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
464,YAR3893,300,Ja,"Mei, Juni",Droog-vochthoudend,"Schaduw, Halfschaduw, Zon",Groen,Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,Tot -15 graden Celsius,,,,,,,,,2-4,6-8,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
465,YAR409,100,Ja,"Mei, Juni",Vochthoudend,Halfschaduw / zon,Groen,Wit,Rosaceae,Laurierkers,Prunus,3-4,Haagplanten,,Zwak zuur tot licht basisch,,,,"Maart, Augustus",,,,3-4,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
466,YAR4044,90,Ja,"Juni, Juli",Droog,Zon,Grijs,"Paars, Blauw",Lamiaceae,Lavendel,Lavandula,5-7,Borderplanten,,,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
467,YAR4066,60,Ja,"Juni, Juli",Droog,Zon,Grijs,Wit,Lamiaceae,Gewone lavendel,Lavandula,5-7,Borderplanten,,,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
468,YAR1772,20,Nee,"Mei, Juni",Droog,Schaduw,Groen,Roze,Liliaceae,Lelietje-van-dalen,Convallaria,,Tuin thema's en Meer,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
469,YAR3652,350,Nee,"April, Mei",Vochthoudend-vochtig,"Zon, Halfschaduw",Groen,Paars,Magnoliaceae,Leliemagnolia,Magnolia,,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,,
470,YAR77,20,Nee,"Mei, Juni",Droog,Schaduw,Groen,Wit,Liliaceae,Lelietje-van-dalen,Convallaria,,Tuin thema's en Meer,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
471,YAR2263,15,Nee,"Mei, Juni",Vochthoudend,Schaduw,Groen,Wit,Rubiaceae,Lievevrouwebedstro,Galium,,Bodembedekkers,,,,,,,,,,,,,,,,Geen,De plant heeft weinig extra zorg nodig.
472,YAR1918,400,Ja,Juli,Droog-vochthoudend,Lichte schaduw,Groen,Wit,Oleaceae,Haagliguster,Ligustrum,,Haagplanten,,Zwak zuur tot licht basisch,,,,,,,,3-4,,,,,,Hoog,Als haag 2 keer per jaar snoeien. Let erop dat de onderzijde van de haag breder blijft als de bovenzijde (Trapezium vorm)
473,YAR3896,500,Ja,,,"schaduw, Halfschaduw, Zon",Groen,Wit,,Gewone liguster,Ligustrum,,Haagplanten,Ja,,,,,,Besjes,,,,6-8,,,,,Hoog,De plant kan toegepast worden als haagplant. Meestal is tweemaal per jaar scheren voldoende om de haag strak te houden.
474,YAR3159,200,Nee,"Juli, Augustus",Vochthoudend-vochtig,Halfschaduw / zon,Groen,Wit,Rosaceae,Lijsterbesspirea,Sorbaria,1,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,,,,,,Gemiddeld,De plant hoeft niet echt gesnoeid te worden. Om de plant in model te houden kan men in het voorjaar en/of in de zomer de lange scheuten inkorten om de vorm van de plant te behouden.
475,YAR603,30,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,Geel,Linaceae,Geel vlas,Linum,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
476,YAR2292,50,Ja,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Blauw, Grijs",Blauw,Linaceae,Overblijvend vlas,Linum,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
477,YAR386,45,Ja,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,"Blauw, Grijs",Blauw,Linaceae,Overblijvend vlas,Linum,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
478,YAR1718,80,Nee,"Augustus, September",Droog-vochthoudend,Zon,"Bruin, Rood",Rood,Campanulaceae,Lobelia,Lobelia,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,Snoei is niet nodig bij deze plant.
479,YAR2023,20,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw",Groen,"Blauw, Paars",Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
480,YAR403,25,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw","Zilvergrijs, Groen",Blauw,Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
481,YAR285,25,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw","Groen, Zilvergrijs",Blauw,Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant kan vermeerderd worden door vroeg in het voorjaar of in de herfst de plant te delen. Het is aan te raden om na de bloei lelijk blad af te knippen, zodat de plant nieuw blad kan aanmaken."
482,YAR2789,30,Nee,"Maart, April",Vochthoudend,"Halfschaduw, Zon","Groen, Zilvergrijs",Wit,Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
483,YAR1481,35,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw",Groen,Rood,Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
484,YAR2558,30,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw","Wit, Groen","Rood, Paars, Roze",Boraginaceae,Longkruid,Pulmonaria,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
485,YAR107,30,Nee,"Maart, April",Vochthoudend,"Schaduw, Halfschaduw","Wit, Groen","Paars, Roze, Rood",Boraginaceae,Longkruid,Pulmonaria,8-11,Borderplanten,,,Ja,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
486,YAR1812,90,Ja,"Mei, Juni",Vochthoudend,Schaduw,Groen,Paars,Brassicaceae,Tuinjudaspenning,Lunaria,,Borderplanten,,,,,,,,,,,,,,,,,
487,YAR3296,100,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Geel,Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei."
488,YAR219,100,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Rood,Fabaceae,Lupine,Lupinus,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei."
489,YAR2986,100,Nee,"Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Wit, Blauw",Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei."
490,YAR3211,90,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Paars,Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei."
491,YAR2911,100,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Wit,Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei."
492,YAR1702,100,Nee,"Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Wit, Roze",Fabaceae,Lupine,Lupinus,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei."
493,YAR3029,10,Ja,"Maart, April",Vochthoudend,Schaduw,Groen,Blauw,Violaceae,Maarts viooltje,Viola,8-11,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
494,YAR3552,80,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
495,YAR181,50,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
496,YAR4068,150,Ja,"November, December, Januari, Februari",Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,Geel,Berberidaceae,Mahonie,Mahonia,,Tuin thema's en Meer,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
497,YAR31,80,Nee,,Vochthoudend,Halfschaduw,Groen,,Aspidiaceae,Mannetjesvaren,Dryopteris,3-5,Borderplanten,,,,,,,,,,,,,,,,Geen,Geen bijzondere zorg nodig. Woekert doorgaans niet.
498,YAR254,70,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,5-7,Tuin thema's en Meer,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
499,YAR2716,30,Ja,"Juni, Juli",Vochthoudend-vochtig,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
500,YAR558,80,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
501,YAR242,50,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
502,YAR803,80,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
503,YAR2768,70,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Margriet,Leucanthemum,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
504,YAR3454,30,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,Zon,Grijs,Roze,Lamiaceae,Marjolein,Origanum,8-11,Borderplanten,,Neutraal tot basisch,,,,,,,,,,,,,,Laag,Na de bloei de bloemen verwijderen.
505,YAR3051,50,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Roze,Lamiaceae,Marjolein,Origanum,,Borderplanten,,,,,,,,,,,,,,,,Laag,Na de bloei de bloemen verwijderen.
506,YAR607,50,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,Groen,"Roze, Paars",Lamiaceae,Marjolein,Origanum,,Borderplanten,,,,,,,,,,,,,,,,Laag,Na de bloei de bloemen verwijderen.
507,YAR1293,50,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Paars,Lamiaceae,Marjolein,Origanum,,Borderplanten,,,,,,,,,,,,,,,,Laag,Na de bloei de bloemen verwijderen.
508,YAR796,30,Nee,"September, Augustus, Juli",Vochthoudend-vochtig,Zon,Grijs,"Roze, Paars",Lamiaceae,Marjolein,Origanum,,Borderplanten,,Neutraal tot basisch,,,,,,,,,,,,,,Laag,Na de bloei de bloemen verwijderen.
509,YAR2089,1000,Nee,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Roze, Rood",Rosaceae,Tweestijlige meidoorn,Crataegus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
510,YAR674,800,Nee,Mei,Droog-vochthoudend,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Eenstijlige meidoorn,Crataegus,,Bomen,,Neutraal tot basisch,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
511,YAR64,500,Nee,Mei,Droog-vochthoudend,Lichte schaduw / zon,Groen,Wit,Rosaceae,Meidoorn,Crataegus,,Bomen,,Neutraal tot basisch,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
512,YAR2010,800,Nee,"Mei, Juni",Droog-vochthoudend,Lichte schaduw / zon,Groen,Wit,Rosaceae,Meidoorn,Crataegus,,Bomen,,Neutraal tot basisch,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
513,YAR1211,150,Ja,"Juli, Augustus, September",Vochthoudend,Schaduw,Groen,Geel,Oenotheraceae,Middelste teunisbloem,Oenothera,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
514,YAR2011,70,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Moederkruid,Tanacetum,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
515,YAR2956,70,Nee,"September, Oktober",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Moederkruid,Tanacetum,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
516,YAR27737,2500,Nee,,,,,,,,,,Bomen,Ja,,,,,,,,,,,,,,,,
517,YAR3846,120,Ja,"Juni, Juli",Vochthoudend-vochtig,,Groen,Wit,Rosaceae,,Filipendula,,Tuinstijlen,,,,,,,,,,,,,,,,,
518,YAR2634,80,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,Oranje,Iridaceae,Montbretia,Crocosmia,,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
519,YAR237,100,Ja,"Juni, Juli, Augustus",Droog,Zon,Groen,Geel,Scrophulariacea,Mottenkruid,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,,
520,YAR2843,100,Ja,"Augustus, Juli, Juni",Droog,Zon,Groen,"Wit, Roze",Scrophulariacea,Mottenkruid,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,,
521,YAR1835,100,Ja,"Juni, Juli",Droog-vochthoudend,Zon,Grijs,"Wit, Paars",Lamiaceae,Scharlei,Salvia,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
522,YAR157,40,Nee,"Mei, Juni, Juli, Augustus",Droog-vochthoudend,Zon,Groen,"Wit, Roze",Asteraceae,Muurfijnstraal,Erigeron,9-11,Borderplanten,Ja,,Ja,,,,,,,,,,,,,Laag,De plant heeft weinig zorg nodig. Iedere 2 tot 3 jaar scheuren.
523,YAR4043,50,Ja,"Mei, Juni, Juli",Vochthoudend,Zon,Groen,Geel,Rosaceae,Nagelkruid,Geum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
524,YAR4057,40,Ja,"Augustus, Juli, Juni, Mei",Droog-vochthoudend,Zon,Groen,"Rood, Oranje",Rosaceae,Nagelkruid,Geum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
525,YAR32,60,Nee,,Vochthoudend,Halfschaduw,Groen,,Aspidiaceae,Niervaren,Dryopteris,3-5,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
526,YAR130,50,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Roze,Geraniaceae,Ooievaarsbek,Geranium,5-7,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
527,YAR115,30,Nee,"Juni, Juli",Vochthoudend,Halfschaduw / zon,Groen,"Paars, Blauw",Geraniaceae,Ooievaarsbek,Geranium,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
528,YAR186,30,Nee,"Juni, Juli",Vochthoudend,Halfschaduw / zon,Groen,"Wit, Roze",Geraniaceae,Ooievaarsbek,Geranium,8-11,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
529,YAR225,15,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte schaduw,Groen,"Paars, Rood",Geraniaceae,Bloedooievaarsbek,Geranium,11-15,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
530,YAR1359,70,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Geraniaceae,Bosooievaarsbek,Geranium,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
531,YAR68,50,Nee,"Juni, Juli, Augustus",Vochthoudend,Halfschaduw / zon,Groen,Paars,Geraniaceae,Ooievaarsbek,Geranium,7-9,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
532,YAR2413,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Rood,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
533,YAR1417,100,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Rood,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
534,YAR3465,60,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Roze,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
535,YAR765,100,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Roze,Papaveraceae,Oosterse klaproos,Papaver,5-7,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
536,YAR2420,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Roze,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
537,YAR1178,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Wit,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
538,YAR2779,70,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,"Wit, Oranje",Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
539,YAR898,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Lila,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
540,YAR2464,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Rood,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
541,YAR2767,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Roze,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
542,YAR2158,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Rood,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.
543,YAR4086,40,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,Halfschaduw,Groen,"Paars, Rood, Roze",Primulaceae,Orchideeprimula,Primula,11-15,Borderplanten,Ja,Zuur tot neutraal,Ja,,,,,,,,,,,,,,
544,YAR1540,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Gemengd,Scrophulariacea,Paarse toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden."
545,YAR2268,500,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,Zon,Groen,"Wit, Blauw",Passifloraceae,Passiebloem,Passiflora,,Klimplanten,,Zwak zuur tot licht basisch,,,,,,,,,6-8,,,,,Laag,Lange scheuten die in de weg zitten wegknippen. De plant hoeft verder niet gesnoeid te worden.
546,YAR4321,500,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,Zon,Groen,Wit,Passifloraceae,Passiebloem,Passiflora,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,6-8,,,,,Laag,Lange scheuten die in de weg zitten wegknippen. De plant hoeft verder niet gesnoeid te worden.
547,YAR1402,10,Ja,"Mei, Juni, Juli",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Primulaceae,Penningkruid,Lysimachia,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
548,YAR2817,10,Ja,"Juli, Juni, Mei",Vochthoudend,Halfschaduw / zon,"Groen, Geel",Geel,Primulaceae,Penningkruid,Lysimachia,,Borderplanten,,,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
549,YAR2131,1000,Nee,"Mei, Juni",Vochthoudend,Halfschaduw / zon,Groen,Wit,Caprifoliaceae,Peterselievlier,Sambucus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,,Geen,De plant heeft geen bijzondere zorg nodig.
550,YAR1292,300,Nee,"Augustus, Juli",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,"Wit, Roze",Hydrangeaceae,Pluimhortensia,Hydrangea,,Heesters en Struiken,,Zuur tot neutraal,,,,,,,,,,,,,,Gemiddeld,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 30-50 cm boven de grond.
551,YAR1371,200,Nee,"September, Oktober",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Wit,Hydrangeaceae,Pluimhortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Gemiddeld,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 30-50 cm boven de grond.
552,YAR1296,200,Nee,"Augustus, September",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Wit,Hydrangeaceae,Pluimhortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,,Gemiddeld,De plant bloeit op éénjarig hout. Om een goede groei en bloei te krijgen is het raadzaam de plant elk voorjaar (begin maart) sterk terug te knippen tot op 30-50 cm boven de grond.
