,ID,Name,Type,Birds,Bees,Butterflies,Hedgehogs,Squirrels,Flowering period,Leaf color,Flower color,Evergreen,Plant growth,Sun exposure,Soil moisture,Maintenance,Maintenance description,Photo
484,484,Longkruid Pulmonaria saccharata,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Maart April,BladWit BladGroen,BloemRood BloemPaars BloemRoze,NietWintergroen,30,Halfschaduw Schaduw,Vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2626_src.jpg"
485,485,Longkruid Pulmonaria saccharata Mrs Moon,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Maart April,BladWit BladGroen,BloemPaars BloemRoze BloemRood,NietWintergroen,30,Halfschaduw Schaduw,Vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1627_src.jpg"
486,486,Lunaria annua,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemPaars,Wintergroen,90,Schaduw,Vochthoudend,,,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1879_src.jpg"
487,487,Lupine Lupinus Chandelier,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemGeel,NietWintergroen,100,Zon,Vochthoudend,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3526_src.jpg"
488,488,Lupine Lupinus My Castle,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemRood,NietWintergroen,100,Zon,Vochthoudend,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1787_src.jpg"
489,489,Lupine Lupinus The Governor,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus Juli Juni,BladGroen,BloemWit BloemBlauw,NietWintergroen,100,Zon,Vochthoudend,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Lupine-Lupinus-'The-Governor'-kopen_Easy-Resize.com.jpg"
490,490,Lupine Lupinus Thundercloud,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemPaars,NietWintergroen,90,Zon,Vochthoudend,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3380_src.jpg"
491,491,Lupinus Noble Maiden,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemWit,NietWintergroen,100,Zon,Vochthoudend,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3823_src.jpg"
492,492,Lupinus The Chatelaine,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus Juli Juni,BladGroen,BloemWit BloemRoze,NietWintergroen,100,Zon,Vochthoudend,Laag,"De uitgebloeide stengels fors terugknippen en de plant goed bemesten, dit zorgt voor een 2e bloei.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Screenshot_20210827-132855_Drive.jpg"
493,493,Maarts Viooltje Viola odorata,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Maart April,BladGroen,BloemBlauw,Wintergroen,10,Schaduw,Vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_4128_src.jpg"
494,494,Magriet Leucanthemum Alaska,Borderplanten,Vogels,GeenBijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit,Wintergroen,80,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Margriet-bloeiwijze-en-bloeikleuren-informatie-verzorging.png"
495,495,Magriet Leucanthemum Snehurka,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit,Wintergroen,50,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1749_src.jpg"
496,496,Mahonie Mahonia,Heesters en Struiken,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,November December Januari Februari,BladGroen,BloemGeel,Wintergroen,150,"Halfschaduw, Schaduw",Vochthoudend vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/IMG-20210423-WA0011.jpg"
497,497,Mannetjesvaren Dryopteris filix mas Linearis Polydactyla,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,,BladGroen,,NietWintergroen,80,Halfschaduw,Vochthoudend,Geen,Geen bijzondere zorg nodig. Woekert doorgaans niet.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_51_src.jpg"
498,498,Margriet Leucanthemum Christine Hagemann,Heesters en Struiken,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit,Wintergroen,70,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1822_src.jpg"
499,499,Margriet Leucanthemum Dwarf Snow Lady,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit,Wintergroen,30,Zon,Vochthoudend vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_4096_src.jpg"
500,500,Margriet Leucanthemum Polaris,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit,Wintergroen,80,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_649_src.jpg"
501,501,Margriet Leucanthemum Silberprinzesschen,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit,Wintergroen,50,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1810_src.jpg"
502,502,Margriet Leucanthemum Sonnenschein,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemGeel,Wintergroen,80,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/witbloeiendevasteplantenbijen.jpg"
503,503,Margriet Leucanthemum Wirral Supreme,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit,Wintergroen,70,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2768_src.jpg"
504,504,Marjolein Origanum Kent Beauty,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus September,BladGrijs,BloemRoze,NietWintergroen,30,Zon,Vochthoudend vochtig,Laag,Na de bloei de bloemen verwijderen.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3956_src.jpg"
505,505,Marjolein Origanum Rosenkuppel,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus September,BladGroen,BloemRoze,NietWintergroen,50,Zon,Droog vochthoudend,Laag,Na de bloei de bloemen verwijderen.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3218_src.jpg"
506,506,Marjolein Origanum laevigatum Herrenhausen,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli,BladGroen,BloemRoze BloemPaars,NietWintergroen,50,Zon,Droog vochthoudend,Laag,Na de bloei de bloemen verwijderen.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_698_src.jpg"
507,507,Marjolein Origanum laevigatum Hopleys,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus September,BladGroen,BloemPaars,NietWintergroen,50,Zon,Droog vochthoudend,Laag,Na de bloei de bloemen verwijderen.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1452_src.jpg"
508,508,Marjolein Origanum microphyllum,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli,BladGrijs,BloemRoze BloemPaars,NietWintergroen,30,Zon,Vochthoudend vochtig,Laag,Na de bloei de bloemen verwijderen.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_979_src.jpg"
509,509,tweestijlige meidoorn crataegus laevigata paul s scarlet/,Bomen,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,April Mei,BladGroen,BloemRoze BloemRood,NietWintergroen,1000,Lichteschaduw Zon,Vochthoudend vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/meidoorn-rood.jpg"
510,510,Meidoorn Crataegus monogyna,Bomen,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei,BladGroen,BloemWit,NietWintergroen,800,"Halfschaduw, Zon",Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Crataegus-meidoornhaag-in-bloei.png"
511,511,Meidoorn Crataegus nitida,Bomen,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei,BladGroen,BloemWit,NietWintergroen,500,Lichteschaduw Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1549_src.jpg"
512,512,Meidoorn Crataegus persimilis Splendens,Bomen,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemWit,NietWintergroen,800,Lichteschaduw Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/meidoorn.jpeg"
513,513,Middelste teunisbloem Oenothera biennis,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juli Augustus September,BladGroen,BloemGeel,Wintergroen,150,Schaduw,Vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1370_src.jpg"
514,514,Moederkruid Tanacetum parthenium,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemWit,NietWintergroen,70,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2037_src.jpg"
515,515,Moederkruid Tanacetum parthenium Rowallane,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,September Oktober,BladGroen,BloemWit,NietWintergroen,70,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3952_src.jpg"
516,516,Moeraseik Quercus palustris,Bomen,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,,,,NietWintergroen,2500,,,,,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/moeraseik.png"
517,517,Moerassperia Filipendula ulmaria,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit,Wintergroen,120,,Vochthoudend vochtig,,,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/moerassperia-1502720094_src.jpg"
518,518,Montbretia Crocosmia Emily McKenzie,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus September,BladGroen,BloemOranje,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Screenshot_20210827-133114_Drive_1.jpg"
519,519,Mottenkruid Verbascum blattaria,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemGeel,Wintergroen,100,Zon,Droog,,,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1805_src.jpg"
520,520,Mottenkruid Verbascum blattaria Albiflorum,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Augustus Juli Juni,BladGroen,BloemWit BloemRoze,Wintergroen,100,Zon,Droog,,,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3628_src.jpg"
521,521,Muskaatsalie Salvia Sclarea Alba,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGrijs,BloemWit BloemPaars,Wintergroen,100,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1907_src.jpg"
522,522,Muurfijnstraal Erigeron karvinskianus,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Mei Juni Juli Augustus,BladGroen,BloemWit BloemRoze,NietWintergroen,40,Zon,Droog vochthoudend,Laag,De plant heeft weinig zorg nodig. Iedere 2 tot 3 jaar scheuren.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1725_src.jpg"
523,523,Nagelkruid Geum Geel,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Mei Juni Juli,BladGroen,BloemGeel,Wintergroen,50,Zon,Vochthoudend,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1567_src.jpg"
524,524,Nagelkruid Geum Oranje,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Augustus Juli Juni Mei,BladGroen,BloemRood BloemOranje,Wintergroen,40,Zon,Droog vochthoudend,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Nagelkruid-Geum-'Oranje'-in-borderpakket.jpg"
525,525,Niervaren Dryopteris marginalis,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,,BladGroen,,NietWintergroen,60,Halfschaduw,Vochthoudend,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_52_src.jpg"
526,526,Ooievaarsbek Geranium Vision violet,Borderplanten,Vogels,GeenBijen,Vlinders,GeenEgels,GeenEekhoorns,September Augustus Juli Juni,BladGroen,BloemRoze,NietWintergroen,50,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1670_src.jpg"
527,527,Ooievaarsbek Geranium clarkei Kashmir Purple,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemPaars BloemBlauw,NietWintergroen,30,"Halfschaduw, zon",Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Ooievaarsbek-Geranium-clarkei-'Kashmir-Purple'.png"
528,528,Ooievaarsbek Geranium clarkei Kashmir White,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemWit BloemRoze,NietWintergroen,30,"Halfschaduw, zon",Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1754_src.jpg"
529,529,Ooievaarsbek Geranium sanguineum Nanum,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,September Augustus Juli Juni,BladGroen,BloemPaars BloemRood,NietWintergroen,15,Lichte schaduw,Vochthoudend vochtig,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1793_src.jpg"
530,530,Ooievaarsbek Geranium sylvaticum Silva,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli,BladGroen,BloemPaars BloemBlauw,NietWintergroen,70,Zon,Droog vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1520_src.jpg"
531,531,Ooievaarsbek Geranium x oxonianum Thurstonianum,Borderplanten,Vogels,GeenBijen,GeenVlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemPaars,NietWintergroen,50,"Halfschaduw, zon",Vochthoudend,Geen,De plant heeft geen bijzondere zorg nodig.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1555_src.jpg"
532,532,Oosterse klaproos Papaver orientale Brilliant,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRood,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2312_src.jpg"
533,533,Oosterse klaproos Papaver orientale Goliath,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRood,NietWintergroen,100,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1624_src.jpg"
534,534,Oosterse klaproos Papaver orientale Karine,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRoze,NietWintergroen,60,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3983_src.jpg"
535,535,Oosterse klaproos Papaver orientale Lady Moore,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRoze,NietWintergroen,100,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_948_src.jpg"
536,536,Oosterse klaproos Papaver orientale May Sadler,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRoze,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2332_src.jpg"
537,537,oosterse klaproos papaver orientale perry s white/,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemWit,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1337_src.jpg"
538,538,Oosterse klaproos Papaver orientale Pinnacle,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemWit BloemOranje,NietWintergroen,70,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2779_src.jpg"
539,539,Oosterse klaproos Papaver orientale Prinzessin Victoria Louise,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemLila,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1146_src.jpg"
540,540,Oosterse klaproos Papaver orientale Rembrandt,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRood,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2432_src.jpg"
541,541,Oosterse klaproos Papaver orientale Showgirl,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRoze,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2767_src.jpg"
542,542,Oosterse klaproos Papaver orientale Sturmfackel,Borderplanten,GeenVogels,Bijen,GeenVlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemRood,NietWintergroen,80,Zon,Droog vochthoudend,Laag,De plant sterft elke winter af en loopt in het voorjaar weer uit. Net voor het uitlopen kan het oude loof afgeknipt of weggehaald worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2355_src.jpg"
543,543,Orchideeprimula Primula vialii,Borderplanten,GeenVogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Juni Juli Augustus,BladGroen,BloemPaars BloemRood BloemRoze,NietWintergroen,40,Halfschaduw,Vochthoudend vochtig,,,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Primula_1.jpg"
544,544,Paarse Toorts Verbascum phoeniceum,Borderplanten,Vogels,Bijen,Vlinders,GeenEgels,GeenEekhoorns,Mei Juni,BladGroen,BloemGemengd,NietWintergroen,80,Zon,Droog vochthoudend,Laag,"De plant is groenblijvend, snoei is niet nodig. Hooguit kan af en toe het oude, lelijk geworden blad weggeknipt worden.","https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_275_src.jpg"
545,545,Passiebloem Passiflora caerulea,Klimplanten,GeenVogels,GeenBijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus September,BladGroen,BloemWit BloemBlauw,NietWintergroen,500,Zon,Vochthoudend vochtig,Laag,Lange scheuten die in de weg zitten wegknippen. De plant hoeft verder niet gesnoeid te worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Passiebloem-Passiflora-caerulea-.jpg"
546,546,Passiebloem Passiflora caerulea Constance Elliott,Heesters en Struiken,GeenVogels,GeenBijen,Vlinders,GeenEgels,GeenEekhoorns,Juli Augustus September,BladGroen,BloemWit,NietWintergroen,500,Zon,Vochthoudend vochtig,Laag,Lange scheuten die in de weg zitten wegknippen. De plant hoeft verder niet gesnoeid te worden.,"https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Passiebloem-Passiflora-caerulea-'Constance-Elliott'.png"
